Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,98,2,1,0,0,0,99,0,99,22.727,0,0,45.644,22.792,0,0.299,0.396,0.234,0.297,0.025,4.899,7.638,4.058,4.845,0.487
Track_1,99,1,1,0,0,0,99,0,99,23.116,1,1,42.197,22.188,0,0.298,0.372,0.230,0.299,0.023,5.407,6.592,4.349,5.385,0.395
Track_2,97,2,2,0,0,0,99,0,99,26.959,2,2,59.644,13.645,0,0.298,0.456,0.238,0.294,0.034,5.026,8.449,4.005,5.029,0.530
Track_3,99,1,1,0,0,0,99,0,99,21.243,3,3,37.578,34.516,0,0.298,0.373,0.244,0.301,0.025,5.719,6.839,4.659,5.703,0.448
Track_4,99,1,1,0,0,0,99,0,99,27.994,4,4,47.471,25.705,0,0.300,0.384,0.201,0.296,0.034,4.258,6.135,2.994,4.335,0.535
Track_6,99,1,1,0,0,0,99,0,99,24.698,6,6,11.060,32.912,0,0.307,0.562,0.158,0.302,0.057,3.205,4.239,2.192,3.196,0.419
Track_7,97,2,2,0,0,0,99,0,99,24.677,7,7,11.640,27.052,0,0.297,0.446,0.162,0.301,0.052,3.806,5.071,2.800,3.763,0.465
Track_8,98,2,1,0,0,0,99,0,99,27.384,8,8,26.574,32.704,0,0.301,0.510,0.203,0.298,0.045,4.778,7.490,2.868,4.635,0.865
Track_9,99,1,1,0,0,0,99,0,99,25.429,9,9,46.100,18.210,0,0.302,0.439,0.149,0.301,0.054,2.857,3.748,2.043,2.833,0.354
Track_10,99,1,1,0,0,0,99,0,99,26.776,10,10,48.795,45.850,0,0.298,0.379,0.235,0.297,0.032,4.909,5.697,3.954,4.914,0.411
Track_11,99,1,1,0,0,0,99,0,99,28.343,11,11,47.361,52.898,0,0.298,0.511,0.161,0.297,0.042,5.673,9.897,4.483,5.627,0.619
Track_13,52,1,1,0,0,0,52,0,52,14.005,13,13,7.112,37.220,0,0.296,0.513,0.000,0.294,0.065,4.304,6.546,2.643,4.366,0.549
Track_14,97,3,1,0,0,0,99,0,99,22.603,14,14,26.808,29.005,0,0.304,0.417,0.153,0.307,0.053,2.884,3.570,2.121,2.912,0.352
Track_15,99,1,1,0,0,0,99,0,99,28.244,15,15,23.364,26.566,0,0.300,0.406,0.207,0.294,0.041,3.433,4.452,2.550,3.398,0.437
Track_16,99,1,1,0,0,0,99,0,99,28.565,16,16,30.253,26.099,0,0.299,0.399,0.190,0.296,0.037,3.927,4.780,2.692,3.948,0.410
Track_17,99,1,1,0,0,0,99,0,99,28.004,17,17,21.179,50.418,0,0.299,0.401,0.144,0.299,0.042,4.204,6.203,2.807,4.195,0.523
Track_18,95,1,1,0,0,0,95,0,95,26.058,18,18,26.802,55.377,0,0.299,0.468,0.173,0.303,0.057,3.438,4.974,2.268,3.484,0.464
Track_19,99,1,1,0,0,0,99,0,99,28.402,19,19,16.017,30.683,0,0.300,0.441,0.175,0.291,0.062,2.863,3.771,2.054,2.874,0.406
Track_20,71,1,1,0,0,0,71,0,71,19.776,20,20,3.689,55.005,0,0.301,0.542,0.133,0.304,0.059,3.197,3.996,2.109,3.217,0.418
