Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,97,2,2,0,0,0,99,0,99,32.429,0,0,28.805,53.947,0,0.355,0.448,0.285,0.353,0.028,5.332,8.467,4.432,5.272,0.500
Track_1,99,1,1,0,0,0,99,0,99,22.565,1,1,20.394,46.005,0,0.259,0.316,0.175,0.260,0.027,5.696,6.883,4.828,5.701,0.422
Track_4,79,1,1,0,0,0,79,0,79,18.554,4,4,31.866,59.773,0,0.315,0.405,0.222,0.314,0.040,4.347,5.929,3.582,4.324,0.437
Track_5,99,1,1,0,0,0,99,0,99,28.891,5,5,58.378,33.746,0,0.324,0.376,0.235,0.326,0.026,5.262,6.688,4.291,5.228,0.448
Track_6,99,1,1,0,0,0,99,0,99,30.000,6,6,34.672,43.061,0,0.336,0.453,0.206,0.332,0.046,3.175,4.062,2.167,3.148,0.412
Track_11,59,1,1,0,0,0,59,0,59,16.341,11,11,10.771,59.309,0,0.367,0.593,0.133,0.370,0.052,4.697,6.555,2.680,4.690,0.546
Track_12,99,1,1,0,0,0,99,0,99,25.645,12,12,20.967,49.453,0,0.281,0.405,0.200,0.279,0.034,4.569,6.199,3.556,4.599,0.449
Track_13,97,3,1,0,0,0,99,0,99,25.168,13,13,38.758,43.120,0,0.280,0.401,0.150,0.278,0.044,4.766,9.070,3.374,4.690,0.829
Track_14,94,1,1,0,0,0,94,0,94,11.193,14,14,9.625,62.180,0,0.325,0.536,0.000,0.326,0.050,5.347,6.440,3.807,5.342,0.411
Track_17,65,1,1,0,0,0,65,0,65,16.153,17,17,49.834,61.680,0,0.268,0.463,0.104,0.267,0.056,3.109,4.394,2.114,3.110,0.494
Track_21,99,1,1,0,0,0,99,0,99,27.870,21,21,36.227,48.810,0,0.312,0.394,0.205,0.312,0.041,3.355,4.357,2.508,3.369,0.410
Track_25,98,2,1,0,0,0,99,0,99,26.413,25,25,41.598,15.541,0,0.313,0.449,0.226,0.313,0.045,3.800,5.734,2.724,3.717,0.655
Track_27,99,1,1,0,0,0,99,0,99,18.712,27,27,54.078,17.049,0,0.212,0.305,0.150,0.211,0.027,5.670,9.680,4.574,5.637,0.579
Track_28,98,2,1,0,0,0,99,0,99,24.065,28,28,10.691,20.014,0,0.270,0.356,0.222,0.267,0.026,5.849,11.307,4.553,5.779,0.697
Track_30,52,2,1,0,0,0,53,0,53,17.217,30,30,57.703,7.001,0,0.371,0.638,0.133,0.363,0.064,5.350,6.449,3.697,5.354,0.533
Track_35,99,1,1,0,0,0,99,0,99,10.327,35,35,46.816,13.143,0,0.193,0.242,0.087,0.196,0.027,5.074,5.889,3.891,5.087,0.408
Track_37,88,1,1,0,0,0,88,0,88,24.509,37,37,57.547,24.873,0,0.314,0.416,0.246,0.315,0.029,5.777,7.881,4.359,5.837,0.473
Track_38,98,2,1,0,0,0,99,0,99,26.933,38,38,36.446,35.608,0,0.289,0.490,0.203,0.287,0.037,4.727,6.182,3.654,4.730,0.524
Track_44,99,1,1,0,0,0,99,0,99,29.946,44,44,22.593,25.636,0,0.333,0.492,0.195,0.332,0.038,4.346,8.225,3.372,4.313,0.545
Track_45,75,2,1,0,0,0,76,0,76,24.998,45,45,60.880,11.273,0,0.348,0.492,0.268,0.348,0.035,5.590,7.164,4.687,5.607,0.446
Track_46,99,1,1,0,0,0,99,0,99,17.721,46,46,51.041,23.050,0,0.264,0.371,0.097,0.260,0.035,6.002,8.674,5.062,5.981,0.474
Track_47,99,1,1,0,0,0,99,0,99,16.524,47,47,41.523,46.870,0,0.289,0.337,0.232,0.292,0.023,5.916,6.703,5.056,5.985,0.387
Track_48,99,1,1,0,0,0,99,0,99,22.765,48,48,18.536,23.421,0,0.287,0.425,0.201,0.284,0.034,5.066,6.208,3.862,5.116,0.395
Track_49,99,1,1,0,0,0,99,0,99,33.245,49,49,48.151,47.533,0,0.462,0.569,0.378,0.461,0.038,4.182,4.961,3.159,4.192,0.373
Track_50,98,1,1,0,0,0,98,1,99,31.843,50,50,52.321,12.128,0,0.357,0.489,0.262,0.355,0.042,3.165,4.349,2.119,3.195,0.468
Track_54,90,0,0,0,0,0,89,10,99,18.842,54,54,57.594,19.912,0,0.237,0.320,0.166,0.238,0.032,4.743,5.685,3.892,4.729,0.415
Track_57,90,0,0,0,0,0,89,10,99,32.879,57,57,33.457,6.975,0,0.449,0.538,0.379,0.446,0.036,3.818,4.654,2.838,3.860,0.384
Track_59,87,0,0,0,0,0,86,13,99,21.013,59,59,48.046,26.285,0,0.256,0.351,0.173,0.257,0.039,3.464,4.374,2.295,3.428,0.413
Track_60,86,0,0,0,0,0,85,14,99,26.710,60,60,5.809,19.279,0,0.331,0.453,0.217,0.324,0.046,3.318,4.439,2.342,3.359,0.420
Track_62,84,1,1,0,0,0,84,15,99,16.776,62,62,9.518,12.360,0,0.292,0.553,0.179,0.290,0.042,5.932,8.834,4.478,5.909,0.522
Track_71,76,0,0,0,0,0,75,24,99,18.325,71,71,21.624,37.700,0,0.254,0.336,0.176,0.257,0.036,3.230,4.299,2.420,3.192,0.408
Track_75,72,0,0,0,0,0,71,28,99,20.427,75,75,29.717,45.127,0,0.301,0.382,0.241,0.297,0.030,6.092,7.255,5.254,6.096,0.414
Track_86,64,0,0,0,0,0,63,36,99,10.281,86,86,45.701,47.651,0,0.241,0.324,0.166,0.243,0.031,5.019,5.890,4.154,5.073,0.388
Track_92,54,0,0,0,0,0,53,46,99,18.095,92,92,18.856,35.091,0,0.350,0.412,0.296,0.350,0.024,5.993,6.883,4.906,5.952,0.363
Track_94,52,1,1,0,0,0,52,47,99,20.281,94,94,37.867,21.859,0,0.417,0.598,0.305,0.418,0.056,3.479,4.861,2.384,3.494,0.480
